Content,Label
"tornare in camera e trovare l'armadio aperto, #creepy #terremoto",pos
altra scossa forte. #terremoto,pos
"e dire che non ci tenevo a fare la notte bianca, #terremoto",pos
non ha sentito il terremoto.,neg
#terremoto si trema ancora cazzo.,pos
#terremoto grazie maya per il regalo di compleanno...,pos
RaiNews24 annuncia morto nel ferrarese #terremoto,neg
Svegliata ben due volte nella stessa notte dal terremoto...,pos
questa era propio piccola perche non ho sentito niente .... #terremoto #milano,pos
#terremoto bussa ancora a Lucca,neg
Si balla ancora #terremoto,pos
"“danni a Ferrara” e come al solito fraintendo. Ah, l'ottimismo… #terremoto #ciccione",neg
"I TT sono #terremoto e #chelsea, ma guai associarli",neg
"Ah ecco non era suggestione, altra scossetta ora ora #terremoto , ma che cavolo",pos
"E cmq, grazie #terremoto :spenta luce alle 2.40, svegliato alle 4.03 ...",pos
"#terremoto a milano, nuova scossetta",pos
"Mi ha svegliato il #terremoto, sembrava crollasse tutto. #bologna",pos
"Scossa di terremoto avvertito a Ravenna, a Bologna io non l'ho sentito",pos
"eh no, non è ancora finita! Altra scossa ora in diretta #terremoto #Lugano",pos
esprime solidarietà e sostegno ai cittadini dell'Abruzzo colpiti dal terremoto: http://htxt.it/vQ2C,pos
Fanculo avevo quasi deciso di riprovare a dormire e via altre scosse #terremoto,pos
Terremoto in centro e nord Italia? danni? tutto ok? #earthquake,pos
Altra scossa di #terremoto #verona,pos
Altra scossa ora di #terremoto. E siamo a 3!,pos
#terremoto su SKY inizia la diretta,pos
Nell'epicentro di #Bologna non si perde neanche un bambino. #terremoto,pos
Mini scossa di assestamento? #terremoto,neg
Ancora.. allora gli uccelli non cantano dalla gioa... #terremoto #,neg
"Se 'sto sciame sismico la finisce, vorrei tornare a dormire. #terremoto",neg
"alla faccia, ne ha fatti di danni il #terremoto di stanotte, non credevo! 5 morti…",neg
#terremoto a #imola e #Faenza nuova scossa...piccola per fortuna,pos
"#terremoto e ora basta, eh! Che cazzo.",pos
Scossa di assestamento ora #terremoto,pos
#terremoto. In questo momento a #novara scossa ondulatoria. 6 piano. ORA,pos
Parlano di danni a #finale e #modena. #terremoto.,neg
@slimshadylady perchè trovi dannoso che delle persone si iscrivano a gruppi di discussione sul terremoto?,neg
"Lieve scossa di terremoto in Emilia, segnalata via Twitter. - http://htxt.it/7hai",pos
Terremoto a Roma segnalato via Twitter - http://htxt.it/xNzl,pos
Terremoto a Roma segnalato via Twitter - http://htxt.it/so3N,pos
"Lieve scossa di terremoto in Emilia, segnalata via Twitter. - http://htxt.it/RQ8K",pos
"Lieve scossa di terremoto in Emilia, segnalata via Twitter. - http://htxt.it/hE8r",pos
Terremoto a Roma segnalato via Twitter - http://htxt.it/hBNE,pos
"Lieve scossa di terremoto in Emilia, segnalata via Twitter. - http://htxt.it/ToHH",pos
#terremoto: su Twitter sembra proprio una scossa leggera. Le agenzie non hanno ancora battuto la notizia. Twitter è più veloce,pos
"Lieve scossa di terremoto in Emilia, segnalata via Twitter. - http://htxt.it/lkFg",pos
Terremoto a Roma segnalato via Twitter - http://htxt.it/F6pZ,pos
"#terremoto. Televideo RAI parla di una scossa di magnitudo 4.3 e intitola ""forte scossa tra Marche-Romagna",pos
"Lieve scossa di terremoto in Emilia, segnalata via Twitter. - http://htxt.it/F95w",pos
Terremoto a Roma e a l'Aquila - http://htxt.it/9o2N,pos
Altra scossa #terremoto sentita a Milano. Sempre settimo piano condominio...,pos
#terremoto #Ferrara VI grado scala #Mercalli nessun danno per fortuna,pos
che spavento #terremoto,pos
mi date più notizie su #sanfelicesulpanaro terremoto?,neg
RT@10dannj10: Ancora da #Finale #Emilia http://t.co/ut9E2xR8” #terremoto #foto,neg
"Altra scossa, più leggera #terremoto",pos
altra lieve scossa  #terremoto anche a #reggio appena riaddormentati,pos
eh cazzo!! che botta!! #terremoto,pos
Altra scossa #terremoto,pos
"Ancora anche qui, Monfalcone #terremoto",pos
nel crollo di bondeno (ferrara) dovuto al #terremoto sarebbe morta una persona,neg
Stanotte non si dorme uffa! Ancora una scossa #terremoto,pos
@acciaipa manco il #terremoto ti sveglia.,neg
"#terremoto, tanto vale lavorare un po'",neg
Altra scossa: rumore di fondo e oscillazione lampadario,pos
#terremoto a Ravenna il divano si muove da solo... scossa di terremoto fortina,pos
#terremonoto ok altra scossa!,pos
"#terremoto #ancora! Dai #maya, fate veloce se proprio dovete...",neg
Eccone un'altra! #terremoto #Milano,pos
Un'altra scossa. Stavo giusto pensando di tornare a dormire...,pos
Danni incalcolabili a Padova #terremoto http://t.co/zZHzjiFW,neg
Un #terremoto la scorsa notte in Italia. Vittime e danni. :-(,neg
Altra scossettina giusto per non fare addormentare. #terremoto,pos
#terremoto cazzo altra scossa. Breve stavolta,pos
E chi cazzo dorme più? Beati i miei che a piano terra sentito un casso! #terremoto,pos
"""così impari a tenere tutte quelle pile di riviste!"" #terremoto",neg
la bottiglia di Armagnac è salva #terremoto #mamma #lacrime,neg
e i tweet danno più informazioni della tv... #terremoto,neg
"#terremoto di nuovo a Milano, più leggero",pos
altra piccola scossa a #milano #terremoto,pos
Crollato anche il Duomo di Mirandola.. :/ #terremoto,neg
Visto il gran numero di chiese crollate si ipotizza un terremoto di matrice islamica.,neg
Altra scossa lunga ora avvertita a #vicenza #terremoto,pos
Altra scossa. La discoball è il mio sismografo. Che due palle però.,neg
Terremoto sentito (p.Romana a Milano),pos
Puttana la nuova scossa,pos
"O il mio palazzo balla, oppure è ritornato il #terremoto a #milano",neg
Ancora scossa debole #terremoto #novara adesso è dura riuscire a dormire,pos
"bush c'ha beccato che volevamo rimetterci a dormire, eh? #terremoto #bis",neg
Altra scossa #terremoto,pos
Ora piove pure qui a #Modena # terremoto,neg
Altra scossa alla 05:02 avvertita bene in prov. di VE.,pos
#terremoto : in Trentino (Riva del Garda) abbiamo ballato ancora,pos
"#terremoto Svegli solo io e il criceto.., vediamo di dormire",pos
Albeggia sull'Italia sveglia per #terremoto,neg
#terremoto E nell'iperuranio di Twitter comincio' a farsi largo l'hashtag #Maya...,neg
sto paese sta proprio crollando in pezzi ...#italia #ita #terremoto,neg
"Nella concitazione non ho capito dove sia l'epicentro reale, sapete dirmi? #terremoto",pos
E siamo alla terza scossa #verona #terremoto,pos
Altra scossa,pos
"#terremoto altra scossa in questo secondo, leggera ma non troppo #Ravenna",pos
"Scossa di Terremo forte, avete sentito???",pos
"#terremoto #Milano #paura altra scossa, ancora Cazzo",pos
Altra piccola scossa #terremoto #milano,pos
Qualche scossetta ancora.... #terremoto #paura,pos
Brescia trema anche ora. #terremoto(Ufff!),pos
#terremoto C'é chi dice danni ingenti in centro a  #finale #modena,neg
#terremoto ...e paghiamolo sto #canonerai ...perché un motivo ci sarà O.o,neg
Ancora forte #terremoto,pos
"terremoto, qui: http://snurl.com/fb2i4",pos
terremoto? Dove?,neg
altra scossa.. notte tellurica,pos
E due!! Mi stavo riaddormentando! #terremoto,neg
Altra scossa! Eccheccazzo! #VR #Terremoto,pos
Altra scossa di #terremoto... #Milano,pos
"Quinto piano, qua si è svegli da un'ora. E chi dorme più? #terremoto a #Parma",pos
scossa di assestamento mica leggera! Terremoto a Bologna.,pos
Di nuovo. Svegliati dalla scossa. #terremoto #genova.,pos
Zona industriale s.felice un sacco di danni :-(  #terremoto,neg
"Nuova scala di misura dell'Energia del #terremoto .. ""Gradi twitter""",neg
Ancora terremoto cristoddio? Basta!,pos
#terremoto Di nuovo??? Ma che è?!?,pos
#terremoto si balla ancora,pos
Cacchio di assestamento #terremoto,pos
"Gli uccellini cinguettano perchè è quasi giorno, per chi lo chiede. u.u #terremoto",neg
E si continua a tremare #terremoto,pos
Il terremoto. Limortacci.,pos
DI NUOVO scossa #terremoto a San Bovio... argh stavo per andare a dormire :-(,pos
#terremoto Finalmente qualcuno in tv ne parla (#RaiNews24),neg
#terremoto Ecco i primi assestamenti...,pos
"#terremoto Pazzesco, dopo anni, sto guardando la TV. Che oggetto curioso ma inutile...",neg
Se la smettesse però ora non sarebbe male #terremoto,pos
"Alè, si balla ancora! #terremoto",pos
#terremoto #bologna accidenti all'assestamento!,pos
Altra scossa di assestamento #terremoto #padova,pos
Trema ancora #terremoto,pos
Sarebbe il caso di dire: Soccia! #Bologna #terremoto #terremotobologna,pos
A Mirandola venuto giù un pezzo di Duomo #terremoto #cronachedalterremoto,neg
Un disperso tra operai a #Bondeno. Fonte RaiNews. #terremoto #cronachedalterremoto,neg
3000 sfollati e 6 morti. Il triste bilancio del terremoto in Emilia #terremoto,neg
"Dopo le catastrofi di oggi su #Italia1 danno ""Vulcano""! #terremoto #masochismo",neg
#terremoto un'altra!!,pos
Giuro qua non di svegliano neanche col #terremoto,pos
Di buono c‘è che domani non rivedremo quella faccia da culo di Bertolaso. #terremoto,neg
Non capisco se è paranoia o assestamento. #VE #terremoto,pos
Altra scossa ora piuttosto forte ora! #terremoto,pos
ore 05:03 ancora #terremoto,pos
Appena sentita scossa di assestamento a Moniga #terremoto,pos
Tg2 in diretta crolla parte di Municipio già lesionato #terremoto,neg
Altra scossa fortissima ora siamo uscite di casa,pos
Crepa nel muro di casa. #terremoto #ferrara http://t.co/m0XGxmvC,neg
Il terremoto era stato annunciato da Giampaolo Giuliani http://tinyurl.com/csotz2,neg
il terremoto visto dai media del resto del mondo: http://www.rudybandiera.com/il-sisma-abruzzese-visto-dal-resto-del-mondo-0406.html,pos
Ma qualcuno ha sentito la scossa di terremoto delle 22.20 http://www.rudybandiera.com/terremoto-a-ferrara-0405.html,pos
Nuova scossa di #terremoto  avvertita a genova ore 5.03,pos
"La mia settimana: mani ferite, colica renale, #terremoto",neg
nel #terremoto a crollare i vecchi edifici e ...i capannoni industriali....,neg
#terremoto nuova scossa avvertita a venezia,pos
Un'altra scossa di #terremoto avvertita a La Spezia alle 05:04,pos
Un'altra scossa di #terremoto più leggera!!!,pos
#terremoto #mortacciTua nemmeno la notte si può avere pace in questa cavolo di vita??,pos
"Rieccolo. Ciao #terremoto, mi mancavi. Eppure solo un'ora fa eri passato di qui :-P",pos
#terremoto altra piccola scossa ondulatoria #Venezia,pos
#terremoto e #skytg24 fa la diretta!!! Ascoltiamo per benino!! E chi dorme più?,neg
"E no cazzo, così non dormo più... Come va a Modena e dintorni? #terremoto",pos
ha fatto danni il #terremoto?,pos
uccellini permettendo provo a dormire... #terremoto #bologna,neg
Altra lieve scossa a #bologna,pos
È vero sti uccellini  se ne fregano #terremoto,neg
Azz  ansa dice danni a persone #terremoto,neg
Eccone un'altra! #terremoto,pos
leggo prime notizie di danni dall'emilia. speriamo bene. #terremoto,neg
Forte #terremoto a Genova. Fino a adesso si può sentire un po i tremori.,pos
Nuova scossa! #terremoto,pos
Casa danneggiata a Ferrara. #terremoto http://t.co/JhGnEDCg,neg
"altra botta, leggera, breve #terremoto #monza",pos
6 morti e 50 feriti  #terremoto,neg
